objectid,filename,title,date,concert_dates,item_type,description,artistic_directors,guest_scholar,performers,location,idaho_county,source,type,format,language,rights,rights_standardized,display_template,object_location,image_small,image_thumb
idaho-bach-festival-01,idaho-bach-festival-01.pdf,2011 Bach Festival Program,2011,"October 27-28, 2011",Program,,Michael Murphy,,,Haddock Performance Hall; First Presbyterian Church,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-01.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-01_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-01_th.jpg
idaho-bach-festival-02-poster,idaho-bach-festival-02-poster.pdf,2nd Annual Idaho Bach Festival [poster],2012,,Poster,,,,,,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-02-poster.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-02-poster_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-02-poster_th.jpg
idaho-bach-festival-02,idaho-bach-festival-02.pdf,2012 Idaho Bach Festival: Johann Sebastian Bach and His Contemporaries,2012,"October 25-26, 2013",Program,,Michael Murphy,,,Administration Auditorium; Haddock Performance Hall; Emmanuel Lutheran Church,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-02.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-02_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-02_th.jpg
idaho-bach-festival-03-poster,idaho-bach-festival-03-poster.pdf,3rd Annual Idaho Bach Festival [poster],2013,,Poster,,,,,,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-03-poster.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-03-poster_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-03-poster_th.jpg
idaho-bach-festival-03,idaho-bach-festival-03.pdf,3rd Annual Idaho Bach Festival Summary,2013,"October 25-26, 2013",Program,,Miranda Wilson; Michael Murphy,Nathan Olson,,Idaho Commons Rotunda; Administration Auditorium; Haddock Performance Hall,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-03.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-03_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-03_th.jpg
idaho-bach-festival-04,idaho-bach-festival-04.pdf,4th Annual Idaho Bach Festival,2014,"October 23-24, 2014",Program,,Miranda Wilson; Michael Murphy,,,Idaho Commons Rotunda; Haddock Performance Hall,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-04.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-04_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-04_th.jpg
idaho-bach-festival-05-poster,idaho-bach-festival-05-poster.pdf,5th Annual Idaho Bach Festival [poster],2015,,Poster,,,,,,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-05-poster.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-05-poster_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-05-poster_th.jpg
idaho-bach-festival-05-presentation,idaho-bach-festival-05-presentation.pdf,"""Leave me, o scornful world, in troubled loneliness!"" Religious Struggle in the Cantatas of Johann Sebastian Bach",2015-10-13,,Presentation,Abstract for a Malcolm M. Renfrew Interdisciplinary Colloquium presentation.,,,,,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-05-presentation.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-05-presentation_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-05-presentation_th.jpg
idaho-bach-festival-05,idaho-bach-festival-05.pdf,5th Annual Idaho Bach Festival,2015,"October 15-17, 2015",Program,,Miranda Wilson; Michael Murphy,Paul Max Tipton (baritone),,Idaho Commons Rotunda; Haddock Performance Hall,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-05.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-05_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-05_th.jpg
idaho-bach-festival-06-poster,idaho-bach-festival-06-poster.pdf,6th Annual Idaho Bach Festival: Streams to Bach [poster],2017,,Poster,,,,,,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-06-poster.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-06-poster_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-06-poster_th.jpg
idaho-bach-festival-06,idaho-bach-festival-06.pdf,6th Annual Idaho Bach Festival,2017,"January 12-14, 2017",Program,,Miranda Wilson; Christopher Pfund,"Lucas Harris (lute, theorbo)",,Idaho Commons Rotunda; Haddock Performance Hall; First Presbyterian Church,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-06.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-06_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-06_th.jpg
idaho-bach-festival-07-poster,idaho-bach-festival-07-poster.pdf,7th Annual Idaho Bach Festival [poster],2018,,Poster,,,,,,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-07-poster.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-07-poster_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-07-poster_th.jpg
idaho-bach-festival-07,idaho-bach-festival-07.pdf,7th Annual Idaho Bach Festival,2018,"January 16-19, 2018",Program,,Miranda Wilson; Christopher Pfund,,,Idaho Commons Rotunda; Haddock Performance Hall,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-07.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-07_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-07_th.jpg
idaho-bach-festival-08-poster,idaho-bach-festival-08-poster.pdf,8th Annual Idaho Bach Festival [poster],2018,,Poster,,,,,,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-08-poster.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-08-poster_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-08-poster_th.jpg
idaho-bach-festival-08,idaho-bach-festival-08.pdf,8th Annual Idaho Bach Festival,2018,"October 22-26, 2018",Program,,Miranda Wilson; Christopher Pfund,,,Administration Auditorium; Lionel Hampton School of Music; Haddock Performance Hall; Idaho Commons Rotunda,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-08.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-08_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-08_th.jpg
idaho-bach-festival-09,idaho-bach-festival-09.pdf,9th Annual Idaho Bach Festival,2019,"October 28-30, 2019",Program,,Miranda Wilson; Christopher Pfund; Lynette Pfund,,,Administration Auditorium; Haddock Performance Hall; Idaho Commons Rotunda,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-09.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-09_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-09_th.jpg
idaho-bach-festival-10,idaho-bach-festival-10.pdf,Idaho Bach Festival,2020,"October 26-28, 2020",Program,,Miranda Wilson; Christopher Pfund,Raymon Erickson,,Haddock Performance Hall,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-10.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-10_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-10_th.jpg
idaho-bach-festival-11-poster,idaho-bach-festival-11-poster.pdf,11th Annual Idaho Bach Festival [poster],2021,,Poster,,,,,,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-11-poster.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-11-poster_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-11-poster_th.jpg
idaho-bach-festival-11-presentation,idaho-bach-festival-11-presentation.pdf,The Idaho Bach Festival... 10 Years On,2021-10-26,,Presentation,Slides from a Malcolm M. Renfrew Interdisciplinary Colloquium presentation.,,,,,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-11-presentation.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-11-presentation_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-11-presentation_th.jpg
idaho-bach-festival-11,idaho-bach-festival-11.pdf,11th Annual Idaho Bach Festival,2021,"October 25-27, 2021",Program,,Miranda Wilson; Christopher Pfund; Lynette Pfund,,,Administration Auditorium; Haddock Performance Hall,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-11.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-11_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-11_th.jpg
idaho-bach-festival-2025,idaho-bach-festival-2025.pdf,2025 Idaho Bach Festival,2025,"October 22, 2025",Program,,Miranda Wilson,,,Haddock Performance Hall,Latah County,"Idaho Bach Festival, University of Idaho",Text,application/pdf,eng,"Materials from the University of Idaho Library's Digital Collections are made available online for research purposes. Copyright is retained by original copyright holders. Please contact Idaho Bach Festival, University of Idaho, https://www.uidaho.edu/letters-arts-social-sciences/academics/music",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/bach-festival/idaho-bach-festival-2025.pdf,https://objects.lib.uidaho.edu/bach-festival/small/idaho-bach-festival-2025_sm.jpg,https://objects.lib.uidaho.edu/bach-festival/thumbs/idaho-bach-festival-2025_th.jpg